2024-11-26 16:13:06 [INFO] No data for KOSPI on 20101113
2024-11-26 16:13:06 [INFO] No data for KOSPI on 20101114
2024-11-26 16:13:07 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:08 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:09 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:10 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:11 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:12 [INFO] No data for KOSPI on 20101120
2024-11-26 16:13:12 [INFO] No data for KOSPI on 20101121
2024-11-26 16:13:13 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:14 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:15 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:17 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:18 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:18 [INFO] No data for KOSPI on 20101127
2024-11-26 16:13:18 [INFO] No data for KOSPI on 20101128
2024-11-26 16:13:19 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:23 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:27 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:28 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:29 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:29 [INFO] No data for KOSPI on 20101204
2024-11-26 16:13:29 [INFO] No data for KOSPI on 20101205
2024-11-26 16:13:30 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:31 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:33 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:34 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:35 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:35 [INFO] No data for KOSPI on 20101211
2024-11-26 16:13:35 [INFO] No data for KOSPI on 20101212
2024-11-26 16:13:37 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:37 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:39 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:40 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:41 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:41 [INFO] No data for KOSPI on 20101218
2024-11-26 16:13:41 [INFO] No data for KOSPI on 20101219
2024-11-26 16:13:42 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:43 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:44 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:45 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:46 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:46 [INFO] No data for KOSPI on 20101225
2024-11-26 16:13:47 [INFO] No data for KOSPI on 20101226
2024-11-26 16:13:48 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:49 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:50 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:51 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:51 [INFO] No data for KOSPI on 20101231
2024-11-26 16:13:52 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:53 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:54 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:55 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:56 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:57 [INFO] No data for KOSDAQ on 20100821
2024-11-26 16:13:57 [INFO] No data for KOSDAQ on 20100822
2024-11-26 16:13:58 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:13:59 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:00 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:01 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:03 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:03 [INFO] No data for KOSDAQ on 20100828
2024-11-26 16:14:03 [INFO] No data for KOSDAQ on 20100829
2024-11-26 16:14:04 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:05 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:06 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:07 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:08 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:09 [INFO] No data for KOSDAQ on 20100904
2024-11-26 16:14:09 [INFO] No data for KOSDAQ on 20100905
2024-11-26 16:14:10 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:11 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:12 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:13 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:14 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:14 [INFO] No data for KOSDAQ on 20100911
2024-11-26 16:14:14 [INFO] No data for KOSDAQ on 20100912
2024-11-26 16:14:15 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:16 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:17 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:18 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:19 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:19 [INFO] No data for KOSDAQ on 20100918
2024-11-26 16:14:19 [INFO] No data for KOSDAQ on 20100919
2024-11-26 16:14:20 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:20 [INFO] No data for KOSDAQ on 20100921
2024-11-26 16:14:20 [INFO] No data for KOSDAQ on 20100922
2024-11-26 16:14:21 [INFO] No data for KOSDAQ on 20100923
2024-11-26 16:14:22 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:22 [INFO] No data for KOSDAQ on 20100925
2024-11-26 16:14:22 [INFO] No data for KOSDAQ on 20100926
2024-11-26 16:14:23 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:24 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:25 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:26 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:26 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:27 [INFO] No data for KOSDAQ on 20101002
2024-11-26 16:14:27 [INFO] No data for KOSDAQ on 20101003
2024-11-26 16:14:28 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:29 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:30 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:31 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:32 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:32 [INFO] No data for KOSDAQ on 20101009
2024-11-26 16:14:32 [INFO] No data for KOSDAQ on 20101010
